Field	Time	PELO:X	PELO:Y	PELO:Z	PELP:X	PELP:Y	PELP:Z	LKJC:X	LKJC:Y	LKJC:Z	LHJC:X	LHJC:Y	LHJC:Z	LAJC:X	LAJC:Y	LAJC:Z	RKJC:X	RKJC:Y	RKJC:Z	RHJC:X	RHJC:Y	RHJC:Z	RAJC:X	RAJC:Y	RAJC:Z	LTOO:X	LTOO:Y	LTOO:Z	RTOO:X	RTOO:Y	RTOO:Z	TRXO:X	TRXO:Y	TRXO:Z	TRXP:X	TRXP:Y	TRXP:Z
49	0.4800	166.504074	-3596.288330	819.372009	158.268356	-3585.549072	943.824341	69.933327	-3691.742188	440.858643	104.072021	-3598.417480	815.424316	109.674316	-3992.512695	196.867310	210.155807	-3487.354492	462.339874	228.936264	-3594.159668	823.319702	182.039490	-3491.031250	68.720596	93.495682	-3952.105713	55.148899	206.552826	-3340.184570	59.371304	173.755463	-3556.624268	1334.611206	175.090408	-3562.323242	1140.862183
50	0.4900	167.020493	-3582.107910	821.667725	159.038971	-3571.106201	946.113647	66.671600	-3664.846191	440.685669	104.576996	-3584.119629	817.840576	108.191353	-3968.504150	203.485138	210.092819	-3480.717529	462.887299	229.464005	-3580.096924	825.494873	181.771530	-3490.596680	68.993523	87.575020	-3929.272461	62.012825	206.637146	-3339.825439	59.372845	173.558990	-3542.403076	1337.210938	174.929871	-3547.904785	1143.614624
51	0.5000	167.445511	-3568.265625	824.024048	159.855118	-3556.901367	948.461914	63.714252	-3638.010498	441.070465	104.986801	-3570.152588	820.386719	106.845619	-3942.918945	208.679169	210.001907	-3474.920410	463.358459	229.904251	-3566.378906	827.661499	181.480576	-3490.149658	69.211960	81.066414	-3902.706787	68.333138	206.772522	-3339.462158	59.393768	173.259888	-3528.232422	1339.850464	174.707611	-3533.615234	1146.398682
52	0.5100	167.771469	-3554.737061	826.418884	160.712799	-3542.920654	950.845947	61.101208	-3611.424561	442.029053	105.294380	-3556.492676	823.041199	105.565201	-3915.789551	212.123993	209.887512	-3469.910645	463.752899	230.248627	-3552.981445	829.796509	181.186203	-3489.703125	69.375458	74.132591	-3872.670654	73.807907	206.917007	-3339.101074	59.386913	172.864822	-3514.117188	1342.495361	174.432297	-3519.448730	1149.181641
53	0.5200	167.994644	-3541.488770	828.826233	161.607513	-3529.144531	953.238098	58.854385	-3585.242676	443.538788	105.496803	-3543.107178	825.778320	104.275879	-3887.157227	213.572723	209.754883	-3465.615967	464.075867	230.492371	-3539.870117	831.874146	180.905334	-3489.271729	69.490906	66.944534	-3839.512695	78.239944	207.033508	-3338.749512	59.327423	172.381836	-3500.060791	1345.108765	174.113235	-3505.396729	1151.928589
54	0.5300	168.114731	-3528.482910	831.215881	162.532791	-3515.551270	955.607178	56.976971	-3559.575684	445.542542	105.595390	-3529.959473	828.563843	102.905174	-3857.068115	212.883072	209.608459	-3461.940918	464.338318	230.634171	-3527.005615	833.867554	180.649918	-3488.863770	69.568649	59.669319	-3803.637939	81.526909	207.095428	-3338.410400	59.206360	171.819885	-3486.065674	1347.651978	173.759552	-3491.448975	1154.604492
55	0.5400	168.134506	-3515.676025	833.552429	163.481262	-3502.115723	957.914856	55.455605	-3534.492676	447.956604	105.594162	-3517.008057	831.357605	101.387329	-3825.568359	210.029816	209.452759	-3458.774170	464.554474	230.674850	-3514.343750	835.747314	180.427170	-3488.485107	69.619713	52.460266	-3765.468262	83.646690	207.087158	-3338.085693	59.027344	171.188629	-3472.132324	1350.084595	173.380859	-3477.593018	1157.171631
56	0.5500	168.059189	-3503.024170	835.796387	164.442154	-3488.811523	960.120422	54.264282	-3510.027344	450.678772	105.500015	-3504.210449	834.111938	99.668999	-3792.701660	205.103287	209.291412	-3455.986328	464.739136	230.618164	-3501.837402	837.480957	180.239670	-3488.132813	69.653641	45.449535	-3725.414307	84.640709	207.005936	-3337.770752	58.800167	170.498077	-3458.259521	1352.365845	172.985168	-3463.815430	1159.592285
57	0.5600	167.896362	-3490.483643	837.904541	165.403152	-3475.613281	962.179077	53.368736	-3486.188965	453.596100	105.322327	-3491.527344	836.773926	97.715004	-3758.507813	198.297104	209.127518	-3453.440674	464.905457	230.470459	-3489.440674	839.034912	180.086517	-3487.798828	69.677734	38.743320	-3683.849365	84.599884	206.859131	-3337.458984	58.538433	169.758118	-3444.443604	1354.455688	172.579315	-3450.101807	1161.828613
58	0.5700	167.654953	-3478.013916	839.831604	166.348984	-3462.496338	964.045227	52.730797	-3462.966064	456.591705	105.070763	-3478.919189	839.286682	95.512764	-3723.028320	189.888031	208.963760	-3451.003906	465.062103	230.239151	-3477.109131	840.376343	179.964355	-3487.473145	69.697105	32.420616	-3641.098633	83.654930	206.661865	-3337.142822	58.256542	168.978394	-3430.677979	1356.314941	172.167847	-3436.436768	1163.842407
59	0.5800	167.344238	-3465.576904	841.531921	167.263031	-3449.438232	965.673401	52.311794	-3440.338867	459.550598	104.756096	-3466.351318	841.591675	93.074158	-3686.311523	180.211960	208.802292	-3448.550293	465.212280	229.932343	-3464.802490	841.472290	179.867752	-3487.141602	69.715050	26.534105	-3597.436035	81.966782	206.434494	-3336.811523	57.967804	168.167648	-3416.951416	1357.907593	171.753479	-3422.803467	1165.597900
60	0.5900	166.974030	-3453.138428	842.961609	168.127625	-3436.417969	967.020691	52.075878	-3418.279053	462.364655	104.388039	-3453.790527	843.631470	90.433510	-3648.415283	169.636261	208.644669	-3445.969482	465.353943	229.560150	-3452.485840	842.291626	179.790543	-3486.791016	69.734268	21.113218	-3553.082520	79.720039	206.198853	-3336.457031	57.683552	167.333572	-3403.251465	1359.200684	171.336914	-3409.185059	1167.059814
61	0.6000	166.553696	-3440.668701	844.080322	168.924866	-3423.416748	968.049438	51.992275	-3396.755371	464.936432	103.975891	-3441.207520	845.352539	87.641296	-3609.407227	158.533371	208.491959	-3443.171631	465.481171	229.131485	-3440.129150	842.808105	179.725967	-3486.409180	69.757538	16.167168	-3508.211670	77.111465	205.975952	-3336.071533	57.411182	166.482315	-3389.561768	1360.167114	170.915756	-3395.565918	1168.198730
62	0.6100	166.091873	-3428.141113	844.853760	169.637894	-3410.417236	968.727966	52.037659	-3375.729736	467.183014	103.527756	-3428.573975	846.706665	84.754562	-3569.363281	147.258423	208.345093	-3440.088867	465.585327	228.655960	-3427.708008	843.001038	179.667618	-3485.988281	69.788780	11.691626	-3462.950439	74.343384	205.782562	-3335.651367	57.153522	165.618286	-3375.864014	1360.784424	170.486237	-3381.930420	1168.987793
63	0.6200	165.597092	-3415.533203	845.255005	170.251541	-3397.403809	969.034058	52.197044	-3355.159912	469.038422	103.050957	-3415.863770	847.655396	81.826416	-3528.363525	136.134689	208.204681	-3436.675049	465.656921	228.143188	-3415.202637	842.854736	179.609268	-3485.526611	69.833839	7.672716	-3417.381348	71.615280	205.630066	-3335.197754	56.908203	164.744232	-3362.137939	1361.036621	170.042526	-3368.263916	1169.405762
64	0.6300	165.077484	-3402.825684	845.266174	170.753860	-3384.362305	968.953064	52.464478	-3334.998291	470.455292	102.552284	-3403.053711	848.169739	78.898079	-3486.489502	125.446098	208.071075	-3432.905518	465.687592	227.602753	-3402.597412	842.362427	179.544586	-3485.022461	69.900513	4.092549	-3371.552979	69.122795	205.524979	-3334.713379	56.666889	163.860977	-3348.362305	1360.915405	169.577774	-3354.554199	1169.437744
65	0.6400	164.541061	-3390.001465	844.878418	171.136017	-3371.277588	968.480469	52.842182	-3315.190430	471.405914	102.038116	-3390.122314	848.231689	75.995613	-3443.828125	115.436363	207.943985	-3428.775635	465.670959	227.044006	-3389.881104	841.525269	179.466690	-3484.477051	69.998283	0.930317	-3325.493652	67.055565	205.469330	-3334.202881	56.416607	162.967728	-3334.513428	1360.419556	169.083527	-3340.788574	1169.076416
66	0.6500	163.995651	-3377.048096	844.093445	171.393539	-3358.137207	967.621643	53.338444	-3295.674805	471.882263	101.514648	-3377.050537	847.835449	73.131691	-3400.479736	106.310913	207.822495	-3424.297852	465.603912	226.476700	-3377.045410	840.351074	179.367844	-3483.890869	70.138077	-1.835945	-3279.232178	65.598808	205.460922	-3333.670410	56.142250	162.061951	-3320.569092	1359.555176	168.552063	-3326.955566	1168.320679
67	0.6600	163.448380	-3363.952881	842.922607	171.525665	-3344.925537	966.390198	53.963631	-3276.386475	471.895020	100.987724	-3363.821777	846.988281	70.311554	-3356.569824	98.239838	207.704117	-3419.494629	465.487000	225.909103	-3364.084229	838.856567	179.239319	-3483.260498	70.330589	-4.228074	-3232.823730	64.932365	205.495285	-3333.116211	55.828411	161.139618	-3306.508789	1358.336548	167.974823	-3313.045654	1167.178589
68	0.6700	162.905411	-3350.706299	841.387512	171.535294	-3331.627197	964.809875	54.725605	-3257.258057	471.472321	100.462502	-3350.421143	845.709595	67.539925	-3312.262695	91.357811	207.584839	-3414.388428	465.324646	225.348373	-3350.991943	837.065430	179.073029	-3482.577881	70.585724	-6.264537	-3186.371582	65.226364	205.566269	-3332.536621	55.462677	160.195435	-3292.315186	1356.785034	167.344162	-3299.049316	1165.665771
69	0.6800	162.370865	-3337.298828	839.518494	171.429245	-3318.226318	962.911133	55.623787	-3238.225586	470.656891	99.942337	-3336.833984	844.029541	64.826805	-3267.777344	85.760788	207.459946	-3408.998047	465.124390	224.799377	-3337.763672	835.007263	178.863464	-3481.834473	70.912796	-7.955713	-3140.046387	66.629807	205.666641	-3331.925781	55.037666	159.223083	-3277.975586	1354.928467	166.653000	-3284.958984	1163.806641
70	0.6900	161.846756	-3323.722168	837.354065	171.216309	-3304.705566	960.732178	56.644497	-3219.238037	469.502563	99.429245	-3323.049316	841.990479	62.191753	-3223.396729	81.498650	207.324005	-3403.326660	464.894623	224.264206	-3324.394531	832.717651	178.610703	-3481.021484	71.320900	-9.296352	-3094.098633	69.253448	205.789047	-3331.278320	54.552303	158.215729	-3263.483398	1352.801147	165.895447	-3270.768311	1161.634033
71	0.7000	161.332413	-3309.966064	834.939514	170.907211	-3291.044922	958.316345	57.759106	-3200.259277	468.069641	98.922989	-3309.054688	839.642944	59.665680	-3179.468750	78.565155	207.172134	-3397.358643	464.641449	223.741821	-3310.877686	830.236145	178.323044	-3480.133057	71.820099	-10.260125	-3048.856445	73.145790	205.926956	-3330.587646	54.011349	157.166458	-3248.839111	1350.441284	165.066803	-3256.473145	1159.186401
72	0.7100	160.823929	-3296.021484	832.325623	170.513168	-3277.226563	955.712769	58.925381	-3181.279541	466.420105	98.420303	-3294.839355	837.045959	57.292503	-3136.400635	76.889053	207.001160	-3391.057617	464.366699	223.227600	-3297.203369	827.605225	178.019333	-3479.164307	72.422737	-10.795103	-3004.716309	78.267189	206.075516	-3329.849854	53.424370	156.068573	-3234.050293	1347.892212	164.163345	-3242.071289	1156.510864
73	0.7200	160.313995	-3281.876465	829.567200	170.045471	-3263.229736	952.973572	60.094501	-3162.314209	464.613983	97.915085	-3280.393555	834.263428	55.128822	-3094.637939	76.329254	206.810410	-3384.368896	464.065826	222.712982	-3283.360107	824.870605	177.729187	-3478.112793	73.144684	-10.830322	-2962.117188	84.466782	206.232193	-3329.060059	52.803757	154.915939	-3219.131104	1345.199097	163.182968	-3227.561279	1153.658691
74	0.7300	159.792068	-3267.519043	826.721008	169.515015	-3249.037354	950.153015	61.219669	-3143.397949	462.706604	97.397858	-3265.705566	831.364319	53.242249	-3054.636963	76.677910	206.602448	-3377.222656	463.728455	222.186249	-3269.332275	822.077759	177.491684	-3476.979492	74.007820	-10.288260	-2921.506592	91.470787	206.395813	-3328.217041	52.163208	153.703186	-3204.100586	1342.410278	162.124695	-3212.942871	1150.685791
75	0.7400	159.244598	-3252.934326	823.844788	168.931015	-3234.631104	947.306152	62.264778	-3124.579102	460.748779	96.856583	-3250.766846	828.418335	51.706356	-3016.832764	77.673180	206.383392	-3369.539795	463.338806	221.632599	-3255.101563	819.271484	177.351776	-3475.764893	75.041504	-9.104016	-2883.301758	98.887466	206.566772	-3327.320557	51.513580	152.425995	-3188.979980	1339.575806	160.988846	-3198.215820	1147.650879
76	0.7500	158.655869	-3238.108887	820.995361	168.301514	-3219.998047	944.488342	63.209206	-3105.902344	458.789185	96.276550	-3235.568848	825.495117	50.592304	-2981.612793	79.021263	206.162689	-3361.235840	462.877991	221.035248	-3240.648682	816.495605	177.355499	-3474.470703	76.283585	-7.240497	-2847.846191	106.233810	206.745926	-3326.373291	50.860130	151.081589	-3173.789063	1336.745361	159.777283	-3183.377930	1144.612793
