	Force Plate 1												Force Plate 2												Force Plate 3												Force Plate 4
Sample #	FP1_COP:X	FP1_COP:Y	FP1_COP:Z	FP1_Ref:X	FP1_Ref:Y	FP1_Ref:Z	FP1_Force:X	FP1_Force:Y	FP1_Force:Z	FP1_Moment:X	FP1_Moment:Y	FP1_Moment:Z	FP2_COP:X	FP2_COP:Y	FP2_COP:Z	FP2_Ref:X	FP2_Ref:Y	FP2_Ref:Z	FP2_Force:X	FP2_Force:Y	FP2_Force:Z	FP2_Moment:X	FP2_Moment:Y	FP2_Moment:Z	FP3_COP:X	FP3_COP:Y	FP3_COP:Z	FP3_Ref:X	FP3_Ref:Y	FP3_Ref:Z	FP3_Force:X	FP3_Force:Y	FP3_Force:Z	FP3_Moment:X	FP3_Moment:Y	FP3_Moment:Z	FP4_COP:X	FP4_COP:Y	FP4_COP:Z	FP4_Ref:X	FP4_Ref:Y	FP4_Ref:Z	FP4_Force:X	FP4_Force:Y	FP4_Force:Z	FP4_Moment:X	FP4_Moment:Y	FP4_Moment:Z
41	0	0	0	198.839493	300.407135	0.055876	-0.135584	0.480366	0.406285	-84.516122	-74.741152	14.086509	0	0	0	202.900341	-304.364990	-0.079583	0.083484	-0.396096	-1.182449	-168.025707	-1.544331	41.045176	0	0	0	207.643188	-1058.390015	0.077032	-0.411260	0.186220	0.840406	164.013368	150.674093	0.486795	0	0	0	-199.669022	-305.422272	-0.130892	-0.435658	-0.097322	0.521227	194.478438	63.109697	-81.681182
42	0	0	0	198.839493	300.407135	0.055876	0.219884	-0.316267	1.113639	179.313637	-38.320790	-97.257387	0	0	0	202.900341	-304.364990	-0.079583	-0.272568	-0.044405	-1.183150	-35.045816	-142.077591	41.311647	0	0	0	207.643188	-1058.390015	0.077032	0.125563	0.185063	0.124674	-16.617993	43.968017	95.154990	0	0	0	-199.669022	-305.422272	-0.130892	-0.170284	0.080122	0.166595	149.935369	133.027067	-7.388027
43	0	0	0	198.839493	300.407135	0.055876	0.393833	0.128206	0.406714	-40.748358	-39.450310	69.861189	0	0	0	202.900341	-304.364990	-0.079583	-0.095971	-0.043326	-0.828768	8.441927	34.558786	-163.319511	0	0	0	207.643188	-1058.390015	0.077032	-0.234436	-0.350653	-1.304184	73.690089	79.498021	38.425232	0	0	0	-199.669022	-305.422272	-0.130892	-0.259229	-0.096534	1.585530	-26.906047	-42.433856	-44.607990
44	0	0	0	198.839493	300.407135	0.055876	0.568949	0.483688	-1.360589	222.077111	172.216291	69.983536	0	0	0	202.900341	-304.364990	-0.079583	-0.189796	0.575546	0.587277	96.185324	70.394099	4.200355	0	0	0	207.643188	-1058.390015	0.077032	0.036387	0.096820	0.482487	164.033671	43.836128	0.674755	0	0	0	-199.669022	-305.422272	-0.130892	0.183205	0.169684	0.876243	17.516610	-77.331341	-63.155612
45	0	0	0	198.839493	300.407135	0.055876	-0.040374	-0.673215	-1.360716	134.828888	31.577323	88.544225	0	0	0	202.900341	-304.364990	-0.079583	-0.095371	0.044702	-1.537053	-122.997004	-142.601463	-107.625033	0	0	0	207.643188	-1058.390015	0.077032	-0.683746	-0.263769	-2.376479	-61.850539	150.764313	76.165638	0	0	0	-199.669022	-305.422272	-0.130892	0.359386	0.612257	0.521471	-26.810124	-112.394445	85.515154
46	0	0	0	198.839493	300.407135	0.055876	-0.046505	0.480417	-1.360991	177.613193	277.083713	-60.163552	0	0	0	202.900341	-304.364990	-0.079583	-0.184081	-0.132154	-0.828855	-122.330527	-283.792520	-70.353042	0	0	0	207.643188	-1058.390015	0.077032	-0.233239	-0.082200	-0.231995	-152.251465	257.585338	76.082849	0	0	0	-199.669022	-305.422272	-0.130892	-0.257499	-0.450798	0.166716	-27.057684	27.557514	-81.802361
47	0	0	0	198.839493	300.407135	0.055876	0.308253	-0.138817	-1.007147	-173.626584	135.059550	32.563451	0	0	0	202.900341	-304.364990	-0.079583	-0.539756	0.042961	-0.475346	96.824195	-70.787719	60.073034	0	0	0	207.643188	-1058.390015	0.077032	-0.233154	-0.526476	-0.231213	118.929406	-62.911032	57.477238	0	0	0	-199.669022	-305.422272	-0.130892	-0.082169	-0.007760	1.230874	-336.732474	-218.218993	-63.321875
48	0	0	0	198.839493	300.407135	0.055876	-1.100607	0.120179	0.052270	179.762745	-143.413229	70.030152	0	0	0	202.900341	-304.364990	-0.079583	0.341129	0.049055	2.713056	-167.318805	-107.506200	-70.506504	0	0	0	207.643188	-1058.390015	0.077032	-0.231940	-0.346878	0.841135	73.774562	-134.111523	76.509108	0	0	0	-199.669022	-305.422272	-0.130892	0.006776	0.168895	-0.188059	-159.761722	-112.737011	48.264048
49	0	0	0	198.839493	300.407135	0.055876	-0.305306	-0.585626	-0.300510	311.111074	-2.579873	-115.764167	0	0	0	202.900341	-304.364990	-0.079583	0.251287	0.401929	2.358626	96.393353	35.082659	-14.382936	0	0	0	207.643188	-1058.390015	0.077032	-0.142314	-0.435717	0.841187	299.442689	-27.629322	-150.189504	0	0	0	-199.669022	-305.422272	-0.130892	0.095309	0.169115	-0.188006	106.101272	-42.121710	-100.285539
50	0	0	0	198.839493	300.407135	0.055876	-0.483284	-0.054365	-1.361152	-41.035588	30.607172	-60.248755	0	0	0	202.900341	-304.364990	-0.079583	0.344430	0.224412	-0.120001	-34.324128	-283.286943	41.382162	0	0	0	207.643188	-1058.390015	0.077032	0.304866	-0.259180	0.125247	-107.123414	8.139209	-17.801055	0	0	0	-199.669022	-305.422272	-0.130892	0.007875	-0.273354	-0.187913	17.168766	62.675251	-63.201652
